trajectory,DFG distance,frame,new pdb file
run1-clone23.h5,0.687986,9906,run1-clone23_9906.pdb
run1-clone23.h5,0.799309,5610,run1-clone23_5610.pdb
run1-clone23.h5,0.910618,10887,run1-clone23_10887.pdb
run1-clone23.h5,1.0217,11113,run1-clone23_11113.pdb
run1-clone23.h5,1.13341,3845,run1-clone23_3845.pdb
run1-clone23.h5,1.24487,520,run1-clone23_520.pdb
run1-clone23.h5,1.35518,3114,run1-clone23_3114.pdb
run1-clone23.h5,1.46709,3130,run1-clone23_3130.pdb
run1-clone23.h5,1.57848,30,run1-clone23_30.pdb
run1-clone47.h5,0.794225,2301,run1-clone47_2301.pdb
run1-clone47.h5,0.908802,5674,run1-clone47_5674.pdb
run1-clone47.h5,1.02344,3592,run1-clone47_3592.pdb
run1-clone47.h5,1.13813,4767,run1-clone47_4767.pdb
run1-clone47.h5,1.25198,678,run1-clone47_678.pdb
run1-clone47.h5,1.36764,7994,run1-clone47_7994.pdb
run1-clone47.h5,1.48234,10503,run1-clone47_10503.pdb
run1-clone47.h5,1.59708,9027,run1-clone47_9027.pdb
run1-clone47.h5,1.7118,60,run1-clone47_60.pdb
run3-clone5.h5,0.744568,11056,run3-clone5_11056.pdb
run3-clone5.h5,0.859073,1159,run3-clone5_1159.pdb
run3-clone5.h5,0.973557,1164,run3-clone5_1164.pdb
run3-clone5.h5,1.08948,207,run3-clone5_207.pdb
run3-clone5.h5,1.20279,1101,run3-clone5_1101.pdb
run3-clone5.h5,1.32537,757,run3-clone5_757.pdb
run3-clone5.h5,1.43041,723,run3-clone5_723.pdb
run3-clone5.h5,1.54749,18,run3-clone5_18.pdb
run3-clone5.h5,1.68013,46,run3-clone5_46.pdb
run3-clone9.h5,0.82026,4470,run3-clone9_4470.pdb
run3-clone9.h5,0.927175,5349,run3-clone9_5349.pdb
run3-clone9.h5,1.03404,8497,run3-clone9_8497.pdb
run3-clone9.h5,1.14075,842,run3-clone9_842.pdb
run3-clone9.h5,1.24812,7564,run3-clone9_7564.pdb
run3-clone9.h5,1.35561,1425,run3-clone9_1425.pdb
run3-clone9.h5,1.46191,2544,run3-clone9_2544.pdb
run3-clone9.h5,1.56875,1637,run3-clone9_1637.pdb
run3-clone9.h5,1.67564,621,run3-clone9_621.pdb
